,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
21,casdvest,0.16,0.07,0.12,0.47,0.0,0.0,0.0,0.0,3.25,0.04
22,cbpdigital,22.72,0.0,0.0,14.0,0.0,0.0,0.0,0.01,52.73,0.0
23,ceabb,4.91,6.82,0.28,0.79,0.02,0.18,0.02,0.04,9.11,7.98
24,ceespacolivre,5.19,0.43,0.34,1.44,0.0,0.0,0.0,0.0,18.15,0.57
25,cem,21.62,29.34,1.35,8.18,2.18,0.17,0.0,0.02,177.67,29.78
26,ceprimeiromundo,7.7,0.75,0.34,2.5,0.0,0.04,0.0,0.0,16.95,0.65
27,cermac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ciadosaber,20.98,0.4,1.55,0.07,0.0,0.0,0.0,0.0,43.45,0.72
29,cnslpb,5.54,0.0,0.0,0.52,0.0,0.0,0.0,0.0,18.76,0.0
30,colegioarena,1.64,0.0,0.01,2.45,0.02,0.04,0.0,0.0,74.16,0.54
31,colegiobatistaindependente,62.27,0.0,0.0,14.5,0.0,0.0,0.0,0.0,156.23,0.0
32,colegiobetelbrasileirosp,3.3,0.02,0.04,3.78,0.0,0.02,0.0,0.0,38.86,0.03
33,colegiobilac,44.99,4.0,0.13,18.68,2.09,0.02,0.01,0.0,62.48,10.29
34,colegiobrasilia,27.62,5.75,3.38,12.35,1.24,0.37,0.0,0.0,117.91,9.56
35,colegiocb,38.17,6.57,1.29,0.17,0.01,0.0,0.01,0.01,96.74,11.93
36,colegiodasamericas,19.91,18.77,10.8,11.93,2.52,7.16,0.01,0.01,108.25,24.27
37,colegioeag,0.81,4.42,0.08,0.3,0.48,0.02,0.0,0.0,6.07,5.87
38,colegioecursodesafio,31.75,5.47,0.67,4.26,0.48,0.04,0.0,0.0,113.42,11.4
39,colegioecursoprogressao,16.3,2.51,0.79,6.97,0.56,0.06,0.01,0.0,133.51,8.08
40,colegioeducallis,38.01,0.0,0.32,7.61,0.02,0.05,0.0,0.0,54.08,0.48
41,colegioensitec,16.04,6.96,0.27,23.95,0.97,0.01,0.0,0.0,56.76,8.19
42,colegioflamingo,77.43,23.04,1.68,1.14,0.07,0.0,0.0,0.0,140.07,15.54
43,colegiofuturageracao,54.19,0.35,0.71,10.61,0.19,0.16,0.0,0.0,137.97,0.48
44,colegioglobal,54.18,0.11,0.0,7.5,0.0,0.0,0.0,0.01,155.4,0.05
45,colegioguilhermedealmeida,0.63,10.53,1.14,0.56,1.23,0.19,0.0,0.0,8.52,25.64
46,colegioiguatemy,9.06,4.89,1.26,7.14,2.22,0.68,0.0,0.01,105.62,18.07
47,colegiointegral,4.14,4.8,0.03,9.92,0.47,28.67,0.0,0.0,65.35,19.62
48,colegiojoaopaulo,9.83,1.82,0.56,0.87,0.09,0.04,0.0,0.0,61.54,4.11
49,colegioliceu,0.22,4.39,0.52,0.33,0.0,0.0,0.0,0.0,1.85,6.28
50,colegiomagnum,0.18,0.0,0.02,0.05,0.0,0.0,0.0,0.0,5.13,0.0
51,colegioplanck,1.06,0.0,0.0,8.45,0.0,0.13,0.02,0.0,20.14,0.0
52,colegiopremium,16.33,0.92,0.58,13.87,0.04,0.0,0.0,0.0,15.53,0.37
53,colegioriobranco,3.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
54,colegiosantamaria,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
55,colegiosete,3.29,4.59,0.55,0.98,0.49,0.03,0.0,0.01,52.21,12.98
56,colegiouirapuru,9.83,2.27,0.06,0.23,0.01,0.0,0.0,0.0,18.69,3.81
57,colegiouniverso,3.16,1.21,0.03,6.58,1.34,0.0,0.0,0.0,38.31,2.1
58,colegioup,17.47,0.0,0.0,7.33,0.0,0.0,0.0,0.0,76.65,0.0
59,conexaosaber,13.11,0.01,0.19,0.42,0.0,0.02,0.0,0.0,5.31,0.0
60,contemporaneocidadeverde,5.38,0.0,0.0,2.92,0.0,0.0,0.0,0.0,41.7,0.0
61,contemporaneolagoanova,3.19,0.0,0.0,2.63,0.0,0.0,0.01,0.01,50.82,0.0
62,cotemig,0.46,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.39,0.0
63,crescercampinas,7.01,0.0,0.0,7.1,0.0,0.0,0.0,0.0,87.65,0.0
64,cursobase,0.58,1.24,0.03,1.55,0.42,0.21,0.0,0.0,4.88,2.18
65,cursoisfera,3.28,0.31,0.15,9.72,0.0,0.46,0.0,0.0,42.82,0.36
66,cursosazambuja,0.43,0.34,0.12,1.34,0.06,0.04,0.0,0.0,20.06,3.93
67,deltaeducacional,10.59,0.0,0.0,4.41,0.0,0.0,0.0,0.0,4.17,0.0
68,eacorcovado,0.8,8.63,1.35,0.46,1.57,0.09,0.0,0.01,5.57,19.39
69,eccos,12.39,13.03,1.43,2.39,3.67,0.14,0.02,0.01,64.52,14.88
70,educamais,4.0,11.75,11.5,0.0,0.5,2.5,0.0,0.0,0.0,0.0
71,educandarioterciocorreia,129.21,0.0,0.0,6.12,0.0,0.0,0.0,0.0,112.09,0.0
72,educarse,1.22,2.67,2.33,4.33,0.0,0.0,0.0,0.0,8.67,1.33
73,einsteinassis,3.44,51.06,9.97,1.14,37.56,18.33,0.0,0.03,6.28,29.81
74,elitecuritibaemilianoperneta,11.86,2.78,0.42,11.98,1.03,0.31,0.03,0.02,133.98,7.44
75,eluneonline,6.89,0.0,0.0,5.56,0.0,0.0,0.0,0.0,8.22,0.0
76,equipe,0.56,0.11,0.07,1.67,0.0,0.04,0.19,0.0,2.0,0.48
77,escolaceciliameireles,7.06,0.0,0.0,2.24,0.33,0.0,0.0,0.0,22.65,0.25
78,escolamaster,2.47,0.98,0.21,0.37,0.0,0.0,0.0,0.0,8.61,0.3
79,faculdadeflamingo,1.66,3.43,0.75,0.3,0.21,0.4,0.0,0.0,15.41,10.16
80,franciscopinto,7.4,0.0,7.2,0.0,0.0,0.2,0.0,0.0,1.2,0.0
81,francobrasileiro,0.08,4.38,0.29,0.33,0.08,0.08,0.25,0.08,1.54,7.38
82,insa,1.52,1.4,0.56,0.96,0.17,0.69,0.0,0.02,4.62,5.46
83,institutocristao,12.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,16.25,0.0
84,institutoeurofarma,0.24,0.03,0.0,8.47,3.34,0.28,0.04,0.03,25.33,5.08
85,integra,71.04,2.44,3.19,10.67,0.07,0.59,0.0,0.0,104.26,2.64
86,integradaeducativa,20.31,1.69,0.93,10.55,0.12,0.14,0.0,0.0,142.92,6.81
87,invictus,52.75,2.82,7.93,36.18,0.0,3.59,0.02,0.0,143.3,5.52
88,iracemarufino,2.38,0.0,5.12,0.0,0.0,0.0,0.0,0.0,3.25,0.0
89,isem,8.44,0.07,0.27,2.83,0.0,0.24,0.0,0.0,72.48,0.36
90,ismart,1.59,0.34,0.15,0.58,0.08,0.21,0.1,0.0,4.02,0.67
91,itamarati,0.45,0.04,0.18,0.05,0.0,0.01,0.0,0.0,3.27,0.04
92,jardimsaopaulo,8.6,5.8,5.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
93,joaobelem,0.39,0.0,6.08,0.0,0.0,0.84,0.0,0.0,1.03,0.0
94,josepinheiro,3.36,4.83,0.98,0.05,0.05,0.02,0.0,0.0,5.68,5.67
95,laboratoriosromildo,3.35,0.0,0.0,0.96,0.04,0.0,0.0,0.0,2.72,0.2
96,liessin,0.7,2.78,0.3,0.13,0.3,1.17,0.0,0.52,2.74,3.13
97,liessinbarra,1.36,3.5,1.0,0.07,0.57,1.93,0.0,0.43,7.21,2.71
98,litteratus,80.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0
99,macvest,1.15,5.62,2.89,8.21,3.4,19.02,0.0,0.0,16.0,4.0
100,magister,6.92,0.0,0.0,0.73,0.0,0.0,0.02,0.0,16.95,0.0
101,manoelbatista,23.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,maplebearslz,25.88,0.0,0.0,15.59,0.0,0.0,0.0,0.01,98.27,0.0
103,mariliamattoso,16.46,1.3,0.57,0.51,0.02,0.04,0.0,0.0,162.29,1.71
104,master,0.09,0.0,0.01,7.39,0.01,0.0,0.01,0.0,34.36,0.01
105,mastersolucoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,moaciralves,1.05,6.4,5.84,0.02,0.29,0.07,0.0,0.0,1.58,8.98
107,monsenhorgoncalo,0.36,0.07,7.18,0.0,0.0,0.0,0.0,0.0,0.36,0.07
108,murilorocha,0.74,1.48,5.29,0.01,0.12,0.12,0.0,0.0,1.32,2.72
109,navegasas,0.33,0.0,0.33,0.0,0.0,1.67,0.0,0.0,0.0,0.33
110,novotempo,0.07,0.0,0.0,0.31,0.0,0.0,0.01,0.0,4.83,0.0
111,nucleocriativo,14.18,0.23,0.14,1.4,0.58,0.23,0.0,0.0,17.15,2.28
112,objetivolorena,26.63,3.24,1.28,12.09,0.03,0.01,0.0,0.0,37.64,3.85
113,overabelcabral,10.89,1.66,1.02,3.83,0.01,0.01,0.02,0.0,86.99,4.85
114,overjoaopessoa,9.85,0.83,0.09,3.67,0.0,0.11,0.02,0.0,53.3,0.33
115,overlimaesilva,18.8,0.0,0.64,3.12,0.0,0.0,0.01,0.0,68.33,0.0
116,overmarciliofurtado,5.36,0.6,0.15,4.81,0.1,0.1,0.03,0.0,82.68,2.7
117,overmossoro,11.74,0.3,0.31,2.56,0.08,0.04,0.03,0.0,51.65,0.82
118,overpontanegra,10.06,0.8,0.31,3.68,0.02,0.07,0.04,0.01,67.69,2.11
119,overzonanorte,17.51,0.78,0.5,4.58,0.0,1.04,0.03,0.0,60.46,0.65
120,pauloviana,1.17,0.25,0.83,0.0,0.33,0.0,0.0,0.0,0.0,0.0
121,physicsalcindocacela,0.37,0.4,0.04,0.78,0.11,0.11,0.01,0.0,12.12,1.05
122,physicsalmirantebarroso,0.97,2.46,0.57,3.96,0.14,0.09,0.1,0.0,30.86,5.38
123,physicsaugustomontenegro,1.36,3.85,0.93,2.32,0.03,0.05,0.0,0.0,24.91,4.68
124,physicsbatistacampos,3.53,6.99,2.02,2.2,1.11,0.69,0.02,0.0,26.9,10.09
125,physicscidadenova,2.32,2.62,0.7,2.79,0.03,0.2,0.02,0.0,31.05,5.57
126,physicsconselheirofurtado,2.23,0.1,0.05,6.91,0.05,0.04,0.0,0.0,42.01,0.38
127,physicsmacapa,0.02,1.89,0.48,12.74,0.19,0.25,0.21,0.0,30.14,9.01
128,physicsumarizal,2.85,2.24,0.94,4.04,0.3,0.07,0.07,0.02,27.93,4.69
129,pioxi,7.15,0.06,0.02,6.16,0.03,1.04,0.0,0.01,121.5,0.45
130,pioxiicolegio,4.33,0.0,0.0,2.39,0.0,0.0,0.0,0.0,51.82,0.0
131,plannetataboao,1.69,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
132,portinari,12.63,2.73,0.89,7.6,0.22,0.1,0.01,0.0,107.38,9.69
133,porto,23.53,7.01,0.15,0.41,0.02,0.1,0.03,0.01,111.46,21.03
134,portoseguro,1.93,0.0,0.0,0.56,0.0,0.0,0.01,0.0,0.93,0.0
135,prevest,2.14,0.0,0.0,0.71,0.0,0.0,0.0,0.0,1.24,0.0
136,primeirodemaio,0.11,1.98,0.38,0.84,0.0,0.02,0.0,0.0,3.33,1.33
137,prismapatrocinio,4.51,0.0,0.0,2.85,0.0,0.0,0.0,0.01,28.43,0.0
138,profederal,6.37,0.48,0.07,2.49,4.88,0.26,0.0,0.0,22.69,6.33
139,provaspoliedro,5.98,0.0,0.0,11.2,0.0,0.01,0.0,0.0,33.82,0.0
140,psantagema,14.24,21.68,2.93,0.9,0.51,0.02,0.0,0.03,39.27,29.44
141,sagradafamilia,1.05,1.75,0.04,0.51,0.0,0.04,0.0,0.0,2.81,1.44
142,santadoroteia,0.59,10.14,0.14,2.64,0.0,0.14,0.0,0.0,3.82,2.45
143,santoamerico,8.92,13.02,1.23,0.03,0.19,0.1,0.03,0.01,39.0,7.83
144,santoamericoteste,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,santoantonio,0.33,0.33,1.0,0.0,0.67,1.33,0.0,0.0,0.0,0.0
146,sas,3.43,0.57,0.86,72.86,14.86,2.71,6.43,0.0,2.0,0.0
147,sasadapt,2.69,1.69,1.62,0.44,0.5,0.19,0.0,0.0,0.5,2.56
148,sasadaptem,14.67,6.67,6.33,20.0,8.33,10.67,0.0,0.0,6.33,2.33
149,senhorbonfim,0.5,4.25,9.89,0.0,0.0,1.25,0.0,0.0,1.25,4.86
150,souhabilis,2.45,0.0,0.01,1.04,0.0,0.0,0.01,0.0,8.12,0.09
151,spdacruz,21.92,1.77,0.64,11.21,0.01,0.05,0.0,0.0,201.4,6.76
152,stellamarisaguaverde,12.27,3.55,0.8,0.8,0.01,0.12,0.0,0.01,56.65,2.76
153,stellamarisjuveve,14.59,12.85,0.26,3.11,0.32,0.11,0.04,0.01,92.41,20.32
154,stellamarisxaxim,22.02,10.84,0.98,2.79,0.04,0.0,0.0,0.0,67.65,9.43
155,universitariolondrina,9.22,5.21,0.32,3.53,0.71,0.02,0.01,0.01,96.14,9.41
156,universobarcarena,6.64,1.1,0.17,5.22,0.26,0.11,0.0,0.0,49.49,1.99
157,villalobos,3.03,3.51,0.2,2.37,0.96,0.11,0.01,0.0,49.36,6.15
158,zacariasliberato,0.17,0.0,19.83,0.0,0.0,0.67,0.0,0.0,0.0,0.0
159,abdiasmartins,0.0,3.84,3.84,0.0,0.0,0.03,0.0,0.0,0.0,6.97
160,abiliomartins,0.0,0.19,0.57,0.01,0.0,0.04,0.0,0.0,0.04,0.3
161,anossaatmosfera,0.0,0.0,0.0,0.0,8.68,0.18,0.0,0.0,0.0,13.62
162,antoniairene,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,antoniolima,0.0,0.0,6.56,0.0,0.0,0.6,0.0,0.0,0.0,0.0
164,antoniomelo,0.0,2.05,1.25,0.0,0.14,0.07,0.0,0.0,0.0,3.89
165,arena,0.0,0.0,0.0,8.0,7.0,4.0,1.0,0.0,0.0,0.0
166,blueschooleducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,camerinocursos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,0.0
168,caur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,cognitivo,0.0,0.0,1.25,0.25,0.0,1.75,0.0,0.0,0.0,0.0
170,colegioanchietai,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0
171,colegiobianguloiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,colegionovopatio,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,2.18,0.0
173,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.37,0.0
174,conradochaves,0.0,0.0,5.17,0.0,0.0,0.15,0.0,0.0,0.0,0.0
175,crb,0.0,0.0,0.0,29.5,0.0,0.0,0.01,0.0,137.97,0.0
176,cursoenfase,0.0,0.31,0.08,0.74,0.0,0.05,0.0,0.0,3.83,0.69
177,cursoleopoldo,0.0,0.0,0.0,0.34,0.0,0.02,0.06,0.01,7.42,0.01
178,dante,0.0,0.11,0.33,0.67,0.89,0.67,0.11,0.0,0.11,0.33
179,dommga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
180,domus,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,5.42,0.0
181,eldapereira,0.0,0.1,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2
182,elitecuritiba,0.0,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.66,0.0
183,formacoesipu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,franciscoperes,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,gamt,0.0,0.87,2.0,0.0,0.19,1.45,0.0,0.0,0.0,1.4
186,guilhermefilho,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,hamiltondarocha,0.0,7.11,11.05,0.0,0.01,0.3,0.0,0.0,0.0,3.32
188,idaam,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,7.52,0.0
189,idb,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
190,ipdhsolucoes,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.21
191,joaoferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,joaorosa,0.0,0.51,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.71
193,joaosampaio,0.0,0.0,8.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,josesoares,0.0,0.78,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,luizgonzaga,0.0,0.0,2.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0
196,manoelfrancisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,mariaeunice,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,marialaura,0.0,0.0,5.9,0.0,0.0,0.07,0.0,0.0,0.0,0.0
199,marianair,0.0,0.0,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,mariaolinda,0.0,0.0,7.77,0.0,0.0,0.62,0.0,0.0,0.0,0.0
201,melquiadescamelo,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,mocinhagomes,0.0,1.05,5.0,0.0,0.0,0.16,0.0,0.0,0.0,0.95
203,montessori,0.0,0.0,0.0,1.22,0.0,0.11,0.0,0.0,8.78,0.0
204,nsfatima,0.0,0.0,6.7,0.0,0.0,0.02,0.0,0.0,0.0,0.0
205,nucleo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,oficinadoestudante,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,3.29,0.06
207,overnascimentodecastro,0.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0,4.52,0.03
208,pedrocamelo,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,pesenglish,0.0,0.0,0.06,0.62,0.0,0.25,0.0,0.0,0.0,0.06
210,podion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,poliedro,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.05,0.0
212,raimundoalves,0.0,0.25,0.88,0.0,0.0,0.75,0.0,0.0,0.0,0.0
213,santoagostinho,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
214,santoagostinhomg,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
215,sasadaptfund,0.0,1.0,0.26,0.0,1.0,0.3,0.0,0.0,0.0,0.52
216,saseducacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,serios,0.0,0.0,0.0,3.0,3.5,2.0,0.0,0.0,0.0,1.0
218,simbios,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,2.78,0.0
219,tiquinhodegente,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
220,valdemiracoelho,0.0,1.15,4.07,0.0,0.03,0.01,0.0,0.0,0.0,3.65
221,venceslauchaves,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,vicentecravo,0.0,2.0,6.69,0.0,0.0,0.15,0.0,0.0,0.0,0.54
=======
19,brasilcursinhos,4.11,19.34,5.29,6.46,0.02,0.25,0.0,0.0,28.34,11.38
20,casdinhosjc,0.02,0.12,0.02,0.38,0.07,0.01,0.0,0.0,4.71,0.26
21,casdvest,0.14,0.07,0.12,0.47,0.0,0.0,0.0,0.0,3.25,0.04
22,cbpdigital,22.48,0.0,0.0,14.07,0.0,0.0,0.0,0.01,50.65,0.0
23,ceabb,4.88,6.79,0.28,0.79,0.02,0.18,0.02,0.04,9.04,7.98
24,ceespacolivre,5.22,0.43,0.34,1.45,0.0,0.0,0.0,0.0,18.07,0.56
25,cem,19.58,26.89,1.26,7.56,2.03,0.16,0.0,0.02,159.63,27.24
26,ceprimeiromundo,7.54,0.73,0.34,2.41,0.0,0.05,0.0,0.0,16.71,0.63
27,cermac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ciadosaber,20.85,0.4,1.53,0.07,0.0,0.0,0.0,0.0,43.03,0.72
29,cnslpb,5.27,0.0,0.0,0.47,0.0,0.0,0.0,0.0,16.2,0.0
30,colegioarena,1.62,0.0,0.01,2.43,0.02,0.04,0.0,0.0,73.51,0.52
31,colegiobatistaindependente,59.27,0.0,0.0,13.74,0.0,0.0,0.0,0.0,148.0,0.0
32,colegiobetelbrasileirosp,3.3,0.02,0.04,3.78,0.0,0.02,0.0,0.0,38.84,0.03
33,colegiobilac,43.28,3.83,0.12,17.9,1.99,0.02,0.01,0.0,59.76,9.72
34,colegiobrasilia,26.7,5.74,3.34,11.82,1.25,0.37,0.0,0.0,113.23,9.5
35,colegiocb,34.94,6.39,1.26,0.17,0.01,0.0,0.01,0.01,88.73,11.27
36,colegiodasamericas,19.83,18.92,11.0,11.97,2.5,6.54,0.01,0.01,107.55,24.18
37,colegioeag,0.64,4.24,0.07,0.3,0.48,0.02,0.0,0.0,5.86,5.72
38,colegioecursodesafio,29.56,5.52,0.67,4.18,0.49,0.04,0.0,0.0,109.81,11.37
39,colegioecursoprogressao,15.16,2.26,0.75,6.59,0.51,0.06,0.0,0.0,123.85,7.4
40,colegioeducallis,34.57,0.0,0.31,6.95,0.01,0.05,0.0,0.0,49.72,0.45
41,colegioensitec,15.34,6.73,0.27,23.21,0.93,0.01,0.0,0.0,54.33,7.94
42,colegioflamingo,80.77,24.31,1.81,1.23,0.08,0.0,0.0,0.0,146.0,16.12
43,colegiofuturageracao,52.06,0.34,0.69,10.22,0.19,0.16,0.0,0.0,132.75,0.47
44,colegioglobal,50.2,0.11,0.0,6.8,0.0,0.0,0.0,0.01,143.35,0.05
45,colegioguilhermedealmeida,0.63,10.54,1.16,0.58,1.25,0.19,0.0,0.0,8.66,25.65
46,colegioiguatemy,9.03,4.8,1.24,7.12,2.1,0.63,0.0,0.01,105.02,17.06
47,colegiointegral,3.97,4.69,0.03,9.67,0.46,28.51,0.0,0.0,62.48,18.94
48,colegiojoaopaulo,9.66,1.84,0.56,0.88,0.09,0.04,0.0,0.0,60.93,4.13
49,colegioliceu,0.21,4.3,0.51,0.32,0.0,0.0,0.0,0.0,1.81,5.91
50,colegiomagnum,0.17,0.0,0.02,0.05,0.0,0.0,0.0,0.0,5.07,0.0
51,colegioplanck,0.99,0.0,0.0,8.17,0.0,0.12,0.02,0.0,19.2,0.0
52,colegiopremium,17.92,0.99,0.63,15.13,0.04,0.0,0.0,0.0,17.04,0.38
53,colegioriobranco,3.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
54,colegiosantamaria,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
55,colegiosete,3.18,4.37,0.53,0.93,0.47,0.03,0.0,0.01,49.22,12.13
56,colegiouirapuru,9.63,2.21,0.06,0.21,0.01,0.0,0.0,0.0,18.79,3.76
57,colegiouniverso,3.09,1.19,0.03,6.47,1.32,0.0,0.0,0.0,37.62,2.07
